feature_id,feature,benefit,complexity,priority,implementation_notes
F001,Structured tool-use orchestration,Safer and auditable execution of repo-modifying actions,Medium,High,"Implement tool_use message blocks similar to Claude: update query runner to detect tool_use, perform permission checks, run tools, return tool_result messages. Reuse crates/ragent-core Tool trait and add orchestration in Rust. Ensure progress messages and ordering preserved. ~2-4 weeks"
F002,Polished TUI onboarding and screens,Reduces onboarding friction and increases adoption,Medium,High,"Enhance ragent-tui with onboarding flow, release notes screen, trust dialogs. Use existing TUI library components, add ProjectOnboarding-like sequence. ~1-2 weeks"
F003,Concurrent read-only tool execution,Lower latency for multi-read operations,Medium,Medium,"Detect read-only tools and run them concurrently up to a semaphore limit (MAX_TOOL_USE_CONCURRENCY). Merge results in deterministic order. ~1-2 weeks"
F004,Ripgrep-based fast search tool,Fast repository search with low latency,Small,Low,"Bundle ripgrep or call system ripgrep; add GrepTool wrapper in tools module. ~2-3 days"
F005,Sentry sourcemap/debug-id integration,Better error diagnostics for bundled code,Medium,Medium,"Attach debug_meta images with sourcemap mappings to Sentry error events; provide build-time step to produce/upload sourcemaps. ~1-2 weeks"
F006,Prompt caching and VCR replay,Deterministic tests and faster repeated runs,Medium,Low,"Implement recording of LLM requests/responses to VCR files and add replay mode. Add cache for prompt hashing. ~1-2 weeks"
F007,MCP (Model Context Protocol) client support,Centralized command management & remote configs,Large,Medium,"Implement MCP client to fetch centrally-defined commands and a local MCPTool. Requires protocol implementation and auth. ~3-6 weeks"
F008,Binary-feedback dual-response evaluation,Collect comparator metrics and pick better outputs,Medium,Low,"Add optional dual-response path: request two responses and run comparator selection or present to user for feedback. Integrate with telemetry. ~1 week"
F009,Permissioned git-aware commit assistant,Streamlines PR/comment generation with safer commits,Small,Medium,"Add guided git flows: show git status, propose staged changes, run commit with template. Use existing git utils and permission dialogs. ~3-5 days"
F010,On-device model fallback (offline mode),Resilience when network is unavailable,Large,Low,"Support local LLM models or lightweight embeddings for degraded offline interactions. Requires model packaging and optional inference engine. ~8-12 weeks"
