feature_id,feature,benefit,complexity,priority,implementation_notes
F001,Per-tool permission model and trusted-directory prompts,Prevents accidental dangerous actions and enables safe autopilot use,Medium,High,Add session-scoped permission checks; prompt user for allow/deny on first tool use; store approved tools in session metadata and persist in session DB
F002,Plan mode (generate structured implementation plan before code changes),Improves quality and reduces iterations by planning before coding,Medium,High,Implement a 'plan' pipeline: analyze repo/context -> produce step list -> render plan UI; require user acceptance before applying changes
F003,Autopilot with limits and explicit permission grants,Enables hands-off automation with safety controls,High,High,Implement autopilot worker that executes plan steps sequentially with max-continues limit; require --allow-all or per-tool approvals to enable
F004,/fleet-style parallel subagent orchestration,Speeds up multi-file tasks by parallelizing subtasks,High,Medium-High,Design subagent orchestration layer; spawn workers with isolated context windows; aggregate results and manage dependencies
F005,ACP-compatible session endpoint for IDE embedding,Enables IDE integrations and embedding of interactive sessions,High,High,Expose WebSocket/SSE endpoints in server with session events and action endpoints; implement minimal ACP subset for POC
F006,MCP/plugin model and hooks,Extensibility for third-party tools and enterprise integrations,High,High,Design plugin manifest format and secure loader; sandbox plugins (separate process), provide hook points for pre/post actions
F007,Persistent repository-scoped memory,Improves cross-session productivity and reduces repeated context,Medium,Medium,Add memory table to SQLite keyed by repo; inject into prompt assembly with opt-in/retention policies
F008,GitHub PR/branch automation helper,Streamlines commit->PR workflows and attribution,Medium,Medium,Implement server-side helper that uses GitHub API to create branch, commit changes, and open PR; re-use existing gh/OAuth flows
F009,Session timeline and rewind UI,Increases auditability and debuggability of agent actions,Medium,Medium,Store action timeline in DB; provide UI rendering for timeline and rewind/restore checkpoints
F010,Model selection UI with request multipliers,Helps users balance cost vs quality,Low,Medium,Show model list with multipliers; surface expected cost per action and per-subtask; allow per-subtask overrides
